epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3103.87,1.6472,1.62073,1.4206,0.62738,0.54316,0.57303,0.28804,1.66162,1.52537,1.45694,0.005974,0.005974,0.005974
63,3153.31,1.64179,1.60895,1.41815,0.61872,0.55533,0.57962,0.29064,1.66036,1.53424,1.46802,0.005908,0.005908,0.005908
64,3201.6,1.64443,1.62165,1.42388,0.64203,0.54368,0.59089,0.29672,1.6531,1.50186,1.44918,0.005842,0.005842,0.005842
65,3249.7,1.63368,1.61584,1.41515,0.60645,0.55081,0.5726,0.28484,1.65995,1.53189,1.45212,0.005776,0.005776,0.005776
66,3301.84,1.63858,1.61443,1.42176,0.6372,0.54627,0.58667,0.29525,1.64873,1.52311,1.4441,0.00571,0.00571,0.00571
67,3370.51,1.63443,1.59849,1.41174,0.63578,0.5522,0.58891,0.29587,1.65451,1.50366,1.45195,0.005644,0.005644,0.005644
68,3421.72,1.63151,1.58819,1.40404,0.6267,0.56,0.59316,0.29868,1.65372,1.49815,1.43746,0.005578,0.005578,0.005578
69,3472.63,1.62507,1.58541,1.40824,0.63014,0.56699,0.6063,0.30675,1.63828,1.48548,1.43532,0.005512,0.005512,0.005512
70,3522.53,1.62964,1.59038,1.40718,0.63966,0.57009,0.6043,0.30441,1.641,1.49563,1.43859,0.005446,0.005446,0.005446
71,3571.42,1.63362,1.58817,1.40569,0.63048,0.5729,0.59968,0.3034,1.63142,1.4977,1.43835,0.00538,0.00538,0.00538
72,3627.23,1.61492,1.57073,1.40293,0.62946,0.57667,0.60157,0.30541,1.62693,1.48441,1.43302,0.005314,0.005314,0.005314
73,3676.32,1.61649,1.56375,1.39404,0.63147,0.55498,0.59852,0.30156,1.63866,1.49546,1.43405,0.005248,0.005248,0.005248
74,3724.46,1.60711,1.55662,1.39181,0.64102,0.56943,0.60748,0.30831,1.6319,1.49119,1.42925,0.005182,0.005182,0.005182
75,3772.81,1.6062,1.54747,1.38741,0.64913,0.5701,0.61242,0.31068,1.64039,1.47396,1.4365,0.005116,0.005116,0.005116
76,3829.71,1.60994,1.55303,1.39326,0.63904,0.57704,0.61689,0.31693,1.62718,1.45257,1.43078,0.00505,0.00505,0.00505
77,3878.82,1.60168,1.54047,1.38887,0.63134,0.57453,0.61024,0.30985,1.63309,1.46443,1.43165,0.004984,0.004984,0.004984
78,3926.96,1.60853,1.55294,1.39567,0.65191,0.57717,0.61723,0.31384,1.62785,1.45468,1.4312,0.004918,0.004918,0.004918
79,3975.03,1.58997,1.52279,1.38348,0.66324,0.56803,0.61909,0.31581,1.62661,1.45068,1.42781,0.004852,0.004852,0.004852
80,4023.39,1.58893,1.5176,1.38168,0.65887,0.58316,0.62557,0.32218,1.62583,1.43949,1.42989,0.004786,0.004786,0.004786
81,4071.05,1.58939,1.51717,1.37964,0.63614,0.59392,0.61739,0.31804,1.6274,1.44212,1.42965,0.00472,0.00472,0.00472
82,4118.6,1.58912,1.5103,1.37938,0.63251,0.58629,0.61858,0.31597,1.6285,1.44993,1.4282,0.004654,0.004654,0.004654
83,4167.59,1.58504,1.50797,1.37255,0.6231,0.59264,0.61807,0.31849,1.62586,1.44401,1.4199,0.004588,0.004588,0.004588
84,4215.81,1.5868,1.51535,1.37425,0.63324,0.59772,0.62505,0.3245,1.62409,1.42375,1.41818,0.004522,0.004522,0.004522
85,4264.59,1.57528,1.49317,1.3691,0.64306,0.59544,0.62593,0.32279,1.6221,1.43235,1.4136,0.004456,0.004456,0.004456
86,4313.71,1.57703,1.49511,1.36667,0.64645,0.5915,0.63226,0.32706,1.6207,1.41084,1.41354,0.00439,0.00439,0.00439
87,4365.11,1.55959,1.47806,1.35679,0.64966,0.58689,0.62809,0.3255,1.62242,1.42663,1.41501,0.004324,0.004324,0.004324
1,81.628,2.30076,3.78038,1.99589,0.17971,0.20422,0.10403,0.03865,2.22082,2.93706,1.92236,0.00331615,0.00331615,0.00331615
2,159.494,2.12721,2.91972,1.76642,0.35187,0.18428,0.0981,0.03377,2.35727,3.09886,2.1419,0.0066056,0.0066056,0.0066056
3,247.174,2.16175,2.76849,1.80365,0.24932,0.18587,0.11967,0.04256,2.2824,2.86978,1.99488,0.00985104,0.00985104,0.00985104
4,325.436,2.14427,2.63394,1.79878,0.25712,0.19396,0.13366,0.04888,2.36174,3.30491,2.07665,0.009802,0.009802,0.009802
5,402.142,2.1013,2.50662,1.77785,0.43189,0.1439,0.09685,0.03765,2.37705,3.01303,2.03058,0.009736,0.009736,0.009736
6,478.655,2.06351,2.43507,1.75414,0.38107,0.2424,0.18156,0.0722,2.229,2.79554,2.0233,0.00967,0.00967,0.00967
7,555.093,2.02406,2.35506,1.71051,0.33209,0.30753,0.24404,0.09697,2.03959,2.41696,1.83166,0.009604,0.009604,0.009604
8,607.724,2.00468,2.33071,1.70984,0.36753,0.3088,0.25859,0.10698,2.02026,2.27932,1.82415,0.009538,0.009538,0.009538
9,657.137,1.97927,2.27474,1.68557,0.40079,0.32308,0.28016,0.11417,2.00995,2.28077,1.78278,0.009472,0.009472,0.009472
10,711.042,1.96286,2.22618,1.66444,0.37397,0.35641,0.30316,0.1281,1.94745,2.25404,1.71838,0.009406,0.009406,0.009406
11,777.42,1.94717,2.20983,1.66269,0.35939,0.33428,0.29125,0.12428,1.95137,2.2686,1.73997,0.00934,0.00934,0.00934
12,834.132,1.93939,2.17969,1.63752,0.39636,0.33107,0.28422,0.11697,1.99475,2.17703,1.74971,0.009274,0.009274,0.009274
13,887.832,1.93118,2.15731,1.65429,0.3966,0.36829,0.32656,0.14058,1.91294,2.08569,1.67618,0.009208,0.009208,0.009208
14,941.454,1.90661,2.12599,1.62795,0.41964,0.35984,0.32442,0.14162,1.92267,2.11187,1.71289,0.009142,0.009142,0.009142
15,997.294,1.89028,2.11013,1.60917,0.43792,0.37852,0.35261,0.15055,1.90943,2.0454,1.70771,0.009076,0.009076,0.009076
16,1055.86,1.88325,2.08981,1.61427,0.42321,0.38112,0.35031,0.15689,1.89206,2.03913,1.67452,0.00901,0.00901,0.00901
